0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
SGX,MAINBOARD,,,,,,,,,,,,,
52-Wk,Last,Vol,Day,Div,GrYld,Net,MCap,,,,,,,
High,Low,Company,Sale,+/-,(000),High,Low,Cr,%,P/E,P/BV_,$mil,,
43.5,23,Tye,Soon,31,1058381,3138,41,64,04,27,,,,
158,95.5,ums,‘ed,—unch,8871,113,110,183.1,12.4,19,862.4,,,
52,42,UOA,50.5,-,oe,-,-,39,26,97,05,709.7,,
3135,2682,*UOB,3023,1,1209,3030,3018,«21,569.1,1.1,509655,,,
147130,UOB,Kay,Hian,133,unch,122,134132,2,69,72,06,11926,,
632583,vol,616,+12,616,615,2.3,3.4,129,09,3767,,,,
741,549,*UOL,558,+1,782-560,556,4.2367,04,47193,,,,,
132,42,USP,Group,42,susp,-,-,-,-,o1,44,,,
1,72,Uni-Asia,Grp,81,unch,8,815,819,5A,OT,03,637,,
n,30,Union,Gas,385cd,unch,10385385,433810,18,1223,,,,,
60,225,Unionsteel,60,+30,60,6,56,83,64,03,709,,,
61,345,UtdHampshReitUSD,usa1,1,70,41500,4117,0.6,239.2,,,,,
405,29,ValueMax,375,+05,52,375,237,3,59,53,07,326,,
635,49.5,Valuetronics,62,unch,6385,620-615,15,5S,126,11,2675,,,
1798,1136,*,Venture,Corp,1423,422,779°,142%,«1401,«12053,15.3,14,41533,
9,38,Vibrant,Group,72,405,21,72,7,09,14,80,02,503,
53,1,VibroPower,1,unch,0,1,1,01,07,,,,,
203127,Vicom,135,unch,3880186185013,17.8,37,4787,,,,,,,
Transaction,date:,May,21,,,,,,,,,,,
52-Wk,Last,Vol,Day,Div,GrYld,Net,MCap,,,,,,,
High,Low,Company,Sale,+/-,(000),High,Low,Cvr,%,P/E,P/BV_,$mil,,
205,101,Vicplas,Intl,115,-,oe,-,-,18,39,139,08,588,
21,165,Wee,Hur,188,0.1,839,19,186,214,32,18,03,176,
79,7,Willas-Array,52,-,-,:,-,108,981,05,428,,,
420,307,*,wilmar,intl,314,+1,9292,31531219,5A,9B,0.7,201067,,
179,120,Wing,Tai,147,1,6,107,146,03,34,169,04,1167.2,
50,215,World,Precision,3axd,unch,32340215,-,206,1789,07,136,,,
455,215,XMH,43,2,367,438,425,24,35,119,09,49.4,,
50.5,45,YHI,Intl,475,405,27,48,«=,475012,66,106,05,1388,
515,285,YZ,Fin,Hidg,325,unch,6454,33,32-25,«68,«59,03,12833,
194-925,*,YZJ,Shipbldg,SGD,175,+1,12183175178,337°,94,18,69459,,,
199,7,Yamada,Green,Res,122,-,:,-,28,17°,21,04,216,
109,39,Yanlord,Land,475,2,2589,495,475,-,-,-,-,919.9,
73,545,Yeo,Hiap,Seng,55,unch,4,555,55,06,«36,50,06,334.3
53,1,Ying,Li,Int!,25,02,420,26,25,:,:,-,02,638
146-39,Yoma,Strategic,68,+03,25950,69,65,-,-,-,03,1528,,
80,545,Yongmao,65,+10,0,65,6,112,«31,«(58,03,577,,
485,20,Zheneng,Jinjiang,34.5,unch,11,345,325,-,38,96,04,5016,
7B,35,Zhongmin,Baihui,75,unch,3,75,75,2,13,373,45,1472,
